"monument_id";"monument_nom";"monument_lat";"monument_lon"
10;"Tour Pey-Berland à Bordeaux";44.84;-0.58
102;"Musée des Plans-Reliefs";48.86;2.31
12;"Château de Villeneuve-Lembron";45.48;3.19
13;"Château de Chareil-Cintrat";46.24;3.23
14;"Cloître de la cathédrale du Puy-en-Velay";45.05;3.88
15;"Château d'Aulteribe";45.78;3.5
16;"Château de Bussy-Rabutin";47.56;4.52
19;"Cairn de Barnenez";48.67;-3.86
2;"Château de Maisons";48.95;2.15
20;"Alignements de Carnac";47.6;-3.06
21;"Maison d'Ernest Renan à Tréguier";48.79;-3.23
24;"Château de Bouges";47.04;1.67
25;"Cloître de la Psalette à Tours";47.4;0.69
27;"Tours de la cathédrale de Chartres";48.45;1.49
29;"Tours de la cathédrale de Reims";49.25;4.03
35;"Tour et crypte de la cathédrale de Bourges";47.08;2.4
37;"Château de La Motte-Tilly";48.47;3.43
39;"Palais du Tau à Reims";49.25;4.03
40;"Domaine national de Saint-Cloud";48.84;2.22
44;"Château de Vincennes";48.84;2.44
45;"Maison des Jardies à Sèvres";48.83;2.2
95;"Place forte de Mont-Dauphin";44.67;6.63
46;"Château de Rambouillet, Laiterie de la Reine et Chaumière aux Coquillages";48.65;1.82
52;"Site archéologique et musée d'Ensérune";43.31;3.12
208;"Hôtel de Béthune-Sully";48.85;2.36
31;"Château de Fougères-sur-Bièvre";47.45;1.34
32;"Château de Talcy";47.77;1.44
33;"Château de Châteaudun";48.07;1.32
55;"Château et remparts de la cité de Carcassonne";43.21;2.36
56;"Forteresse de Salses";42.84;2.92
58;"Abbaye de Beaulieu-en-Rouergue";44.2;1.86
59;"Château de Castelnau-Bretenoux";44.9;1.83
6;"Grotte de Pair-non-Pair";45.04;-0.5
60;"Château d'Assier";44.68;1.88
383;"Château de Puyguilhem";45.43;0.74
65;"Site archéologique de Montmaurin";43.22;0.64
66;"Abbaye du Mont-Saint-Michel";48.64;-1.51
67;"Château de Carrouges";48.56;-0.15
68;"Abbaye du Bec-Hellouin";49.23;0.72
71;"Sainte-Chapelle";48.86;2.35
75;"Tours de la cathédrale Notre-Dame de Paris";48.85;2.35
79;"Château d'Angers";47.47;-0.56
5;"Abbaye de La Sauve-Majeure";44.77;-0.31
8;"Site archéologique de Montcaret";44.86;0.06
81;"Château de Pierrefonds";49.35;2.98
85;"Abbaye de Charroux";46.14;0.4
86;"Site gallo-romain de Sanxay";46.49;-0.01
87;"Cloître de la cathédrale de Fréjus";43.43;6.74
88;"Abbaye de Montmajour";43.71;4.66
89;"Château d'If";43.28;5.33
91;"Site archéologique de Glanum";43.77;4.83
96;"Monastère de Saorge";43.99;7.55
99;"Cathédrale de Besançon et son horloge astronomique";47.23;6.03
18;"Abbaye de Cluny";46.44;4.66
23;"Château d'Azay-le-Rideau";47.26;0.47
28;"Maison de George Sand à Nohant";46.63;1.97
51;"Tours de La Rochelle";46.16;-1.15
34;"Palais Jacques Coeur à Bourges";47.09;2.39
54;"Tours et remparts d'Aigues-Mortes";43.57;4.19
80;"Maison de Georges Clemenceau à Saint-Vincent-sur-Jard";46.41;-1.55
70;"Conciergerie";48.86;2.35
9;"Château de Cadillac";44.64;-0.32
72;"Chapelle expiatoire";48.87;2.32
82;"Château de Coucy";49.52;3.32
84;"Château d'Oiron";46.95;-0.08
97;"Trophée d'Auguste à La Turbie";43.74;7.4
98;"Monastère royal de Brou à Bourg-en-Bresse";46.2;5.24
74;"Arc de triomphe";48.87;2.3
103;"Colonne de la Grande Armée à Wimille";50.76;1.63
94;"Abbaye du Thoronet";43.45;6.31
375;"Les Eyzies-de-Tayac";44.94;1.02
145;"Basilique cathédrale de Saint-Denis";48.94;2.36
108;"Tours de la cathédrale d'Amiens";49.9;2.3
107;"Domaine national du Palais-Royal";48.86;2.34
42;"Château et Parc de Champs-sur-Marne";48.85;2.6
62;"Château de Gramont";43.96;0.92
73;"Panthéon";48.85;2.35
53;"Fort Saint-André à Villeneuve-lez-Avignon";43.97;4.8
48;"Villa Savoye à Poissy";48.92;2.03
377;"Château de Voltaire à Ferney";46.26;6.1
381;"Site des mégalithes de Locmariaquer";47.57;-2.96
382;"Château de Montal";44.86;1.86
384;"Domaine national de Jossigny";48.84;2.75
386;"Villa Cavrois (aperçu d'un chantier en cours)";50.67;3.16
385;"NULL";;
